sub,NTrials,iTrial,correct_response,response,bars1,bars2,bars3,bars4,bars5,weights1,weights2,weights3,weights4,weights5,condition,RT
5,100,68,39.66666666666666,42.0,41.0,37.0,73.0,9.0,72.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,861.3399999999673
5,100,69,71.0,49.0,11.0,100.0,19.0,94.0,20.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,3475.295000000042
5,100,70,79.0,73.0,84.0,91.0,64.0,82.0,67.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,3900.6350000000093
5,100,71,36.66666666666666,64.0,0.0,6.0,81.0,23.0,38.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2999.960000000021
5,100,72,36.66666666666666,64.0,0.0,6.0,81.0,23.0,38.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2999.960000000021
5,100,73,34.666666666666664,62.0,51.0,37.0,48.0,19.0,69.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,982.1150000000487
5,100,74,43.33333333333333,41.0,69.0,44.0,3.0,83.0,27.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,916.7750000000232
5,100,75,67.0,66.0,86.0,44.0,97.0,60.0,65.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2050.3499999999767
5,100,76,59.33333333333333,53.0,46.0,93.0,35.0,50.0,46.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2747.630000000063
5,100,77,75.0,48.0,12.0,91.0,47.0,87.0,41.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1494.2250000000352
5,100,78,49.33333333333333,65.0,7.0,70.0,57.0,21.0,97.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1588.015000000014
5,100,79,70.0,52.0,48.0,84.0,82.0,44.0,8.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2006.8300000000745
5,100,80,26.0,48.0,7.0,65.0,5.0,8.0,65.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,4164.030000000028
5,100,81,26.0,48.0,7.0,65.0,5.0,8.0,65.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,4164.030000000028
5,100,82,47.66666666666666,33.0,77.0,18.0,70.0,55.0,60.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1476.0449999999835
5,100,83,58.0,35.0,82.0,55.0,49.0,70.0,45.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1594.314999999944
