sub,NTrials,iTrial,correct_response,response,bars1,bars2,bars3,bars4,bars5,weights1,weights2,weights3,weights4,weights5,condition,RT
1,100,33,28.66666666666667,41.0,65.0,45.0,33.0,85.0,8.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,3730.0
1,100,34,39.0,19.0,58.0,66.0,13.0,10.0,38.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,1422.0
1,100,35,66.0,57.0,17.0,51.0,89.0,35.0,58.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2634.999999999971
1,100,36,51.0,54.0,38.0,70.0,29.0,94.0,54.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2013.0
1,100,37,40.99999999999999,55.0,63.0,97.0,23.0,50.0,3.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2247.999999999971
1,100,38,30.666666666666664,45.0,59.0,53.0,8.0,27.0,31.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2917.0
1,100,39,49.0,40.0,33.0,49.0,32.0,98.0,66.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2530.0
1,100,40,66.0,55.0,44.0,90.0,16.0,80.0,92.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,1732.0
1,100,41,57.0,56.0,62.0,15.0,77.0,35.0,79.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,5909.0
1,100,42,51.33333333333333,76.0,47.0,8.0,75.0,93.0,71.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,5279.0
1,100,43,44.99999999999999,60.0,86.0,15.0,91.0,29.0,29.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,1806.0
1,100,44,31.33333333333333,57.0,26.0,15.0,2.0,22.0,77.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2392.0
1,100,45,56.66666666666666,40.0,1.0,25.0,94.0,94.0,51.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,3950.0
1,100,46,29.33333333333333,30.0,68.0,27.0,14.0,29.0,47.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,5480.0
1,100,47,20.666666666666668,23.0,74.0,34.0,17.0,32.0,11.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,3346.0
1,100,48,48.66666666666666,42.0,73.0,0.0,68.0,14.0,78.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2665.000000000058
1,100,49,51.66666666666666,55.0,53.0,76.0,8.0,97.0,71.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,3518.0
1,100,50,61.33333333333333,64.0,11.0,72.0,72.0,63.0,40.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,3543.0
1,100,51,18.33333333333333,18.0,69.0,49.0,0.0,14.0,6.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,3139.0
1,100,52,65.33333333333333,50.0,79.0,81.0,17.0,92.0,98.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,4627.0
1,100,53,55.33333333333333,63.0,3.0,67.0,6.0,86.0,93.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2332.0
1,100,54,36.333333333333336,31.0,9.0,87.0,6.0,68.0,16.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,3187.000000000058
1,100,55,34.666666666666664,32.0,54.0,21.0,26.0,18.0,57.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,1548.0
1,100,56,59.99999999999999,45.0,22.0,45.0,85.0,59.0,50.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2010.0
1,100,57,57.66666666666666,46.0,99.0,65.0,47.0,39.0,61.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,1598.0
1,100,58,21.33333333333333,27.0,28.0,14.0,28.0,20.0,22.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,3162.0
1,100,59,51.0,51.0,96.0,58.0,28.0,54.0,67.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2521.0
1,100,60,62.0,58.0,83.0,75.0,56.0,27.0,55.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,2538.0
1,100,61,43.33333333333333,42.0,57.0,32.0,32.0,77.0,66.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,1840.0
